"module","cor","p.value","p.adj"
"MEdarkgreen",0.763017162676853,9.12036585128941e-05,0.00409213223401793
"MEskyblue3",-0.742397164181991,0.000177918792783388,0.00409213223401793
"MElightcyan",-0.612752771340985,0.00407371665433786,0.0558554661024423
"MEsienna3",0.603338127061141,0.00485699705238628,0.0558554661024423
"MEturquoise",0.580705602725657,0.00725838283571348,0.066777122088564
"MEyellowgreen",0.532385610481518,0.0156704081114395,0.120139795521036
"MEmagenta",-0.468957550250248,0.0369950543864066,0.221308378131119
"MEyellow",0.465745321995577,0.0384884135880207,0.221308378131119
"MEgrey",-0.426964586497415,0.0604448024650089,0.307464511401518
"MEdarkorange2",-0.410764168566966,0.0720060078217711,0.307464511401518
"MEpurple",-0.404106263618917,0.0772086820310499,0.307464511401518
"MEwhite",0.400418464525929,0.0802081334090917,0.307464511401518
"MEblue",-0.351588067058931,0.12848043691463,0.451509230685564
"MEbrown",0.331529608184725,0.153310085795871,0.451509230685564
"MElightsteelblue1",-0.326398021976458,0.160163041245662,0.451509230685564
"MEgrey60",-0.308872567138057,0.185153111864349,0.451509230685564
"MEsalmon",0.268686386907868,0.252022385866292,0.451509230685564
"MEsaddlebrown",-0.262116510050305,0.264249747145919,0.451509230685564
"MEpaleturquoise",-0.261004985102914,0.266354738407169,0.451509230685564
"MEroyalblue",0.258636732674256,0.270874761433408,0.451509230685564
"MEdarkturquoise",-0.254673912262989,0.278544899048891,0.451509230685564
"MEpink",0.25374001955457,0.280371925195339,0.451509230685564
"MEgreenyellow",0.251552000674149,0.28468151832804,0.451509230685564
"MEtan",0.250041559914578,0.287680282474074,0.451509230685564
"MEred",0.249998291699691,0.287766471069396,0.451509230685564
"MEdarkmagenta",0.247208028639495,0.293358158055979,0.451509230685564
"MEdarkorange",0.245654117379263,0.296500863492552,0.451509230685564
"MEmidnightblue",-0.241168271346994,0.305688179237568,0.451509230685564
"MEcyan",0.240228923166407,0.30763362015436,0.451509230685564
"MEorange",0.235415353213169,0.317719883172624,0.451509230685564
"MEviolet",-0.232832509025803,0.323212553682282,0.451509230685564
"MEsteelblue",0.22784532890409,0.333977088342353,0.451509230685564
"MElightgreen",-0.225589371698551,0.338914964685428,0.451509230685564
"MEdarkolivegreen",-0.222356167629301,0.346066010440396,0.451509230685564
"MEskyblue",-0.219662715666242,0.352089745751682,0.451509230685564
"MElightyellow",-0.219100348427113,0.353355050101746,0.451509230685564
"MEdarkred",-0.213230071688508,0.366719150150061,0.455921105591968
"MEorangered4",-0.177914445327103,0.452987398950462,0.548353167150559
"MEblack",0.172148623716698,0.467994546840348,0.551993568068103
"MEivory",0.158963051162153,0.50323634924363,0.578721801630175
"MEplum1",0.134877074446933,0.570747605006092,0.64035097147025
"MEmediumpurple3",0.115053003068354,0.629087538261536,0.689000637143588
"MEdarkgrey",-0.0846024824149493,0.722867857071294,0.773300498262315
"MElightcyan1",-0.0696214404643921,0.77054482127502,0.793402197097152
"MEgreen",0.0678762704706598,0.776154323247214,0.793402197097152
"MEfloralwhite",0.00170094662705702,0.994321483744516,0.994321483744516
